ID,Evasión,Género,Pareja,Dependientes,Meses_contrato,Teléfono,Internet,Seguridad_online,Soporte_técnico_adicional,Televisión,Películas,Tipo_contrato,Factura_online,Forma_pago,Facturación_mensual,Facturación_anual,Cuentas_Diarias
0848-SOMKO,No,Masculino,Sí,No,59.0,Sí,Sí,Sí,Sí,No,Sí,One year,Sí,Mailed check,69.1,4096.9,2.3
0848-ZGQIJ,No,Masculino,No,No,17.0,Sí,Sí,Sí,No,No,Sí,Month-to-month,No,Bank transfer (automatic),65.75,1111.2,2.19
0851-DFJKB,No,Femenino,No,No,9.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,79.55,723.4,2.65
0853-NWIFK,No,Femenino,No,No,10.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Credit card (automatic),84.6,865.55,2.82
0853-TWRVK,No,Femenino,No,No,5.0,Sí,Sí,No,Sí,No,Sí,Month-to-month,Sí,Credit card (automatic),85.4,425.9,2.85
0854-UYHZD,No,Femenino,No,No,54.0,Sí,Sí,Sí,No,Sí,Sí,One year,Sí,Bank transfer (automatic),103.95,5639.05,3.47
0856-NAOES,No,Masculino,No,No,56.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Electronic check,86.4,4922.4,2.88
0859-YGKFW,No,Masculino,Sí,Sí,4.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,No,Electronic check,101.15,385.9,3.37
0862-PRCBS,No,Femenino,No,No,2.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,31.55,0.65
0864-FVJNJ,No,Masculino,No,No,62.0,Sí,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),69.4,4237.5,2.31
0866-QLSIR,Sí,Femenino,Sí,No,27.0,Sí,Sí,Sí,No,Sí,Sí,Month-to-month,Sí,Electronic check,101.25,2754.45,3.38
0867-LDTTC,No,Masculino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,45.7,45.7,1.52
0867-MKZVY,Sí,Femenino,Sí,No,53.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Electronic check,93.45,4872.2,3.12
0868-VJRDR,No,Masculino,Sí,No,54.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,104.3,5278.15,3.48
0869-PAPRP,No,Masculino,No,No,23.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Bank transfer (automatic),64.9,1509.8,2.16
0870-VEMYL,Sí,Masculino,Sí,Sí,6.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,113.5,0.65
0871-OPBXW,No,Masculino,No,Sí,8.0,No,Sí,Sí,Sí,No,Sí,Two year,Sí,Mailed check,44.55,343.45,1.48
0871-URUWO,Sí,Femenino,Sí,No,11.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,99.5,1056.95,3.32
0872-CASZJ,No,Masculino,Sí,No,61.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Bank transfer (automatic),96.5,5673.7,3.22
0872-JCPIB,No,Masculino,Sí,No,34.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,No,Electronic check,100.85,3527.3,3.36
0872-NXJYS,Sí,Masculino,No,No,56.0,Sí,Sí,Sí,Sí,Sí,Sí,Month-to-month,Sí,Mailed check,105.35,5794.45,3.51
0875-CABNR,Sí,Masculino,No,No,38.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,730.1,0.67
0876-WDUUZ,Sí,Masculino,Sí,Sí,69.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.2,1376.5,0.67
0877-SDMBN,Sí,Masculino,Sí,No,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),115.15,8349.45,3.84
0880-FVFWF,No,Femenino,Sí,No,70.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Credit card (automatic),113.0,7987.6,3.77
0880-TKATG,Sí,Femenino,No,Sí,7.0,No,Sí,Sí,No,No,No,Month-to-month,No,Mailed check,29.8,201.95,0.99
0883-EIBTI,Sí,Masculino,Sí,No,61.0,Sí,Sí,Sí,Sí,No,Sí,Two year,Sí,Bank transfer (automatic),80.8,4860.85,2.69
0885-HMGPY,No,Masculino,Sí,Sí,55.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Bank transfer (automatic),85.5,4713.4,2.85
0886-QGENL,Sí,Masculino,Sí,No,61.0,Sí,Sí,Sí,No,No,Sí,Two year,Sí,Mailed check,69.9,4226.7,2.33
0887-HJGAR,Sí,Femenino,Sí,Sí,14.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,95.8,1346.3,3.19
0887-WBJVH,No,Masculino,Sí,No,72.0,Sí,Sí,No,No,Sí,Sí,Two year,Sí,Bank transfer (automatic),104.15,7689.95,3.47
0895-DQHEW,Sí,Masculino,No,No,22.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,83.05,1799.3,2.77
0895-LMRSF,No,Femenino,No,No,3.0,Sí,Sí,No,No,Sí,No,Month-to-month,No,Electronic check,83.75,247.25,2.79
0895-LNKRC,No,Femenino,Sí,No,60.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,89.45,5294.6,2.98
0895-UADGO,No,Femenino,No,No,3.0,Sí,Sí,No,No,No,No,Month-to-month,No,Electronic check,75.25,242.0,2.51
0897-FEGMU,Sí,Masculino,No,Sí,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,0.65
0898-XCGTF,No,Masculino,No,No,7.0,Sí,Sí,No,No,No,No,Month-to-month,No,Mailed check,74.65,544.55,2.49
0899-LIIBW,No,Masculino,Sí,No,4.0,No,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,29.9,118.25,1.0
0899-WZRSD,No,Femenino,No,No,13.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,80.5,1011.8,2.68
0902-RFHOF,No,Masculino,No,No,3.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Mailed check,50.15,160.85,1.67
0902-XKXPN,No,Femenino,No,No,63.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Bank transfer (automatic),89.6,5538.8,2.99
0906-QVPMS,No,Femenino,No,No,36.0,Sí,Sí,Sí,Sí,Sí,No,One year,Sí,Mailed check,76.35,2606.35,2.54
0907-HQNTS,No,Femenino,No,No,54.0,Sí,Sí,Sí,No,Sí,Sí,One year,Sí,Credit card (automatic),100.05,5299.65,3.34
0909-SDHNU,No,Femenino,No,No,47.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.25,1029.8,0.68
0909-SELIE,No,Femenino,Sí,No,41.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.65,875.55,0.69
0913-XWSCN,No,Femenino,No,No,35.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,100.25,3527.6,3.34
0916-KNFAJ,No,Masculino,No,No,10.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),80.7,788.8,2.69
0916-QOFDP,No,Femenino,Sí,Sí,30.0,Sí,Sí,No,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),80.8,2369.3,2.69
0917-EZOLA,Sí,Masculino,Sí,Sí,44.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),92.95,4122.9,3.1
0921-OHLVP,No,Femenino,Sí,Sí,47.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Credit card (automatic),85.3,4107.25,2.84
0923-PNFUB,Sí,Masculino,Sí,No,58.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,98.7,5812.6,3.29
0924-BJCRC,No,Masculino,No,No,52.0,No,Sí,No,No,No,No,One year,No,Mailed check,30.1,1623.4,1.0
0925-VYDLG,Sí,Femenino,No,No,7.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Mailed check,80.3,526.7,2.68
0927-CNGRH,No,Masculino,Sí,No,20.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,73.65,1463.5,2.46
0927-LCSMG,Sí,Masculino,No,No,13.0,Sí,Sí,Sí,No,Sí,Sí,Month-to-month,No,Mailed check,98.15,1230.25,3.27
0928-JMXNP,No,Masculino,Sí,Sí,12.0,No,Sí,No,Sí,No,No,Month-to-month,No,Mailed check,35.5,432.25,1.18
0928-XUTSN,No,Femenino,No,No,54.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Credit card (automatic),94.1,5060.9,3.14
0929-HYQEW,No,Femenino,No,No,13.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.65,244.8,0.65
0929-PECLO,No,Femenino,No,No,7.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,69.9,497.3,2.33
0930-EHUZA,No,Masculino,No,No,42.0,Sí,Sí,Sí,No,No,Sí,One year,Sí,Electronic check,99.0,4298.45,3.3
0931-MHTEM,No,Masculino,Sí,Sí,65.0,Sí,Sí,No,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),104.1,6700.05,3.47
0932-YIXYU,No,Masculino,No,Sí,49.0,Sí,Sí,Sí,No,Sí,Sí,One year,Sí,Credit card (automatic),109.2,5290.45,3.64
0936-NQLJU,No,Femenino,Sí,Sí,62.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1296.15,0.68
0939-EREMR,No,Masculino,No,No,32.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,96.2,3183.4,3.21
0939-YAPAF,Sí,Femenino,Sí,Sí,11.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,Sí,Mailed check,20.0,196.35,0.67
0940-OUQEC,Sí,Femenino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,70.8,70.8,2.36
0942-KOWSM,No,Masculino,Sí,Sí,37.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,677.05,0.66
0943-ZQPXH,No,Masculino,No,No,1.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,89.55,89.55,2.98
0945-TSONX,No,Femenino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,19.65,0.65
0946-CLJTI,Sí,Femenino,Sí,No,69.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),24.25,1641.8,0.81
0946-FKYTX,No,Femenino,Sí,Sí,72.0,Sí,Sí,Sí,No,Sí,No,Two year,Sí,Credit card (automatic),70.65,5011.15,2.36
0947-IDHRQ,Sí,Femenino,Sí,No,26.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,Sí,Credit card (automatic),90.1,2312.55,3.0
0947-MUGVO,Sí,Femenino,No,No,3.0,No,Sí,No,No,No,No,Month-to-month,No,Mailed check,29.2,98.5,0.97
0952-KMEEH,Sí,Masculino,Sí,Sí,69.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Credit card (automatic),99.45,7007.6,3.32
0953-LGOVU,No,Masculino,Sí,Sí,26.0,Sí,Sí,No,No,No,No,One year,No,Mailed check,50.35,1285.8,1.68
0956-ACVZC,No,Femenino,Sí,Sí,40.0,No,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,50.85,2036.55,1.7
0956-SYCWG,No,Femenino,Sí,No,33.0,Sí,Sí,No,Sí,No,No,One year,Sí,Mailed check,51.45,1758.9,1.72
0958-YHXGP,No,Femenino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,No,Sí,Two year,No,Bank transfer (automatic),80.85,5824.75,2.7
0959-WHOKV,No,Femenino,No,No,3.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Electronic check,54.2,140.4,1.81
0960-HUWBM,No,Masculino,No,No,18.0,Sí,Sí,Sí,No,No,No,Month-to-month,No,Electronic check,49.4,874.8,1.65
0961-ZWLVI,No,Femenino,Sí,No,68.0,Sí,Sí,No,Sí,No,No,One year,Sí,Bank transfer (automatic),60.65,3975.9,2.02
0962-CQPWQ,No,Femenino,No,Sí,19.0,Sí,Sí,No,Sí,No,No,Month-to-month,No,Mailed check,48.8,953.65,1.63
0963-ZBDRN,Sí,Masculino,No,Sí,7.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,45.75,344.2,1.52
0967-BMLBD,No,Masculino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Mailed check,20.1,20.1,0.67
0968-GSIKN,Sí,Femenino,No,No,7.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,137.6,0.67
0969-RGKCU,No,Masculino,No,No,5.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,No,Bank transfer (automatic),96.5,492.55,3.22
0970-ETWGE,Sí,Femenino,Sí,No,66.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,100.8,6690.75,3.36
0970-QXPXW,No,Masculino,No,Sí,7.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,136.75,0.65
0971-QIFJK,No,Masculino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.05,19.05,0.64
0973-KYVNF,No,Masculino,No,No,8.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,69.7,572.85,2.32
0975-UYDTX,No,Femenino,Sí,Sí,62.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Credit card (automatic),106.05,6703.5,3.53
0975-VOOVL,No,Femenino,Sí,No,56.0,Sí,Sí,No,Sí,No,No,Month-to-month,No,Electronic check,90.55,5116.6,3.02
0979-MOZQI,No,Femenino,No,No,41.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,Sí,Mailed check,24.85,962.25,0.83
0979-PHULV,Sí,Masculino,No,No,57.0,Sí,Sí,Sí,No,Sí,Sí,Two year,Sí,Bank transfer (automatic),74.35,4317.35,2.48
0980-FEXWF,No,Femenino,Sí,No,1.0,No,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,24.8,24.8,0.83
0980-PVMRC,No,Femenino,No,No,38.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Mailed check,89.1,3342.0,2.97
0983-TATYJ,No,Masculino,Sí,No,11.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,74.95,825.7,2.5
0988-AADSA,No,Femenino,No,No,26.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Credit card (automatic),69.05,1815.65,2.3
0988-JRWWP,No,Femenino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),80.45,5886.85,2.68
0991-BRRFB,Sí,Masculino,Sí,No,30.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,101.5,2917.65,3.38
0993-OSGPT,No,Masculino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,0.65
0997-YTLNY,No,Femenino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,70.85,70.85,2.36
0999-QXNSA,No,Femenino,Sí,Sí,68.0,Sí,Sí,Sí,Sí,No,Sí,One year,Sí,Electronic check,78.45,5333.35,2.62
1000-AJSLD,Sí,Femenino,Sí,No,63.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,103.5,6479.4,3.45
1004-NOZNR,No,Masculino,Sí,Sí,60.0,Sí,Sí,Sí,Sí,Sí,Sí,Month-to-month,Sí,Credit card (automatic),79.05,4663.4,2.64
1009-IRMNA,Sí,Masculino,Sí,Sí,19.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.6,414.95,0.69
1010-DIAUQ,Sí,Femenino,Sí,Sí,12.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,229.6,0.66
1013-QCWAM,No,Femenino,No,No,41.0,Sí,Sí,No,No,No,No,Month-to-month,No,Bank transfer (automatic),70.25,2868.05,2.34
1015-JPFYW,No,Femenino,No,Sí,25.0,Sí,Sí,No,Sí,No,No,One year,Sí,Credit card (automatic),54.75,1266.35,1.82
1015-OWJKI,No,Femenino,No,No,71.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Credit card (automatic),113.15,7993.3,3.77
1016-DJTSV,No,Masculino,Sí,No,56.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,Sí,Credit card (automatic),25.15,1327.15,0.84
1017-FBQMM,No,Femenino,Sí,Sí,8.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),21.05,139.75,0.7
1020-JPQOW,No,Masculino,No,No,20.0,Sí,Sí,No,No,No,No,Month-to-month,No,Credit card (automatic),70.55,1493.55,2.35
1022-RKXDR,No,Masculino,No,No,43.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,876.15,0.65
1023-BQXZE,No,Femenino,Sí,No,17.0,No,Sí,No,No,No,No,Month-to-month,Sí,Credit card (automatic),35.65,646.05,1.19
1024-GUALD,Sí,Femenino,Sí,Sí,44.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.6,780.25,0.65
1024-KPRBB,No,Femenino,No,No,2.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.5,27.55,0.65
1024-VRZHF,Sí,Femenino,Sí,Sí,71.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.9,1397.3,0.66
1025-FALIX,No,Femenino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),108.65,7726.35,3.62
1027-LKKQQ,No,Femenino,No,No,18.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.65,391.7,0.65
1028-FFNJK,No,Femenino,Sí,No,67.0,Sí,Sí,Sí,Sí,No,Sí,One year,Sí,Credit card (automatic),105.4,7035.6,3.51
1029-QFBEN,Sí,Femenino,Sí,Sí,56.0,Sí,Sí,Sí,Sí,Sí,Sí,Month-to-month,Sí,Mailed check,109.6,5953.0,3.65
1031-IIDEO,Sí,Masculino,Sí,Sí,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,69.9,69.9,2.33
1032-MAELW,No,Masculino,Sí,Sí,69.0,Sí,Sí,No,Sí,Sí,No,Two year,Sí,Mailed check,92.15,6480.9,3.07
1035-IPQPU,No,Masculino,Sí,Sí,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.85,19.85,0.66
1036-GUDCL,No,Masculino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,0.67
1038-RQOST,No,Masculino,Sí,Sí,25.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,19.9,505.45,0.66
1038-ZAGBI,Sí,Femenino,No,No,1.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,85.05,85.05,2.84
1041-RXHRA,Sí,Masculino,Sí,No,55.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),25.7,1443.65,0.86
1042-HFUCW,No,Femenino,Sí,Sí,53.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),108.25,5935.1,3.61
1043-UXOVO,No,Femenino,Sí,No,59.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.35,1267.0,0.68
1043-YCUTE,Sí,Masculino,Sí,No,16.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,98.75,1587.55,3.29
1045-LTCYT,No,Femenino,No,Sí,7.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,71.05,472.65,2.37
1047-NNCBF,No,Femenino,Sí,No,3.0,No,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,30.75,82.85,1.02
1047-RNXZV,No,Masculino,Sí,No,64.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.65,1740.8,0.86
1049-FYSYG,No,Femenino,Sí,Sí,51.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Credit card (automatic),85.5,4421.95,2.85
1051-EQPZR,No,Masculino,No,Sí,1.0,Sí,Sí,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.75,69.75,2.33
1051-GEJLJ,No,Femenino,Sí,Sí,69.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,Sí,Credit card (automatic),20.35,1442.65,0.68
1052-QJIBV,No,Femenino,Sí,Sí,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,69.1,69.1,2.3
1053-MXTTK,No,Masculino,Sí,No,38.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.4,743.5,0.68
1057-FOGLZ,No,Femenino,No,No,3.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Mailed check,19.6,59.75,0.65
1060-ENTOF,No,Masculino,Sí,No,63.0,Sí,Sí,Sí,Sí,No,Sí,One year,No,Credit card (automatic),80.0,5040.2,2.67
1061-PNTHC,No,Masculino,No,Sí,11.0,Sí,Sí,No,Sí,No,No,Month-to-month,Sí,Electronic check,54.55,601.25,1.82
1062-LHZOD,Sí,Femenino,Sí,Sí,24.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,Sí,Mailed check,19.7,494.05,0.66
1063-DHQJF,No,Masculino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),105.5,7611.55,3.52
1064-FBXNK,No,Femenino,Sí,Sí,69.0,Sí,Sí,Sí,Sí,Sí,No,One year,Sí,Credit card (automatic),105.1,7234.8,3.5
1066-JKSGK,Sí,Femenino,Sí,Sí,56.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Credit card (automatic),99.8,5515.45,3.33
1069-QJOEE,No,Masculino,No,No,17.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,76.65,1313.55,2.56
1069-XAIEM,Sí,Femenino,Sí,Sí,18.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.1,428.45,0.84
1073-XXCZD,No,Masculino,No,No,11.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.55,223.15,0.65
1074-AMIOH,No,Femenino,Sí,Sí,45.0,No,Sí,No,Sí,No,Sí,One year,No,Bank transfer (automatic),51.0,2264.5,1.7
1074-WVEVG,No,Femenino,No,No,47.0,Sí,Sí,No,Sí,Sí,No,Month-to-month,Sí,Electronic check,95.05,4504.55,3.17
1075-BGWOH,Sí,Femenino,Sí,No,61.0,Sí,Sí,No,No,Sí,Sí,Two year,Sí,Bank transfer (automatic),101.05,5971.25,3.37
1077-HUUJM,No,Femenino,Sí,Sí,66.0,Sí,Sí,No,No,No,No,One year,Sí,Bank transfer (automatic),74.25,4859.25,2.48
1078-TDCRN,No,Femenino,No,No,42.0,Sí,Sí,Sí,No,No,No,Month-to-month,No,Credit card (automatic),54.55,2455.05,1.82
1080-BWSYE,No,Femenino,Sí,Sí,55.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1083.0,0.65
1084-MNSMJ,No,Femenino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Bank transfer (automatic),19.25,19.25,0.64
1084-UQCHV,Sí,Femenino,Sí,No,68.0,No,Sí,Sí,No,Sí,Sí,One year,Sí,Electronic check,54.4,3723.65,1.81
1085-LDWAM,No,Femenino,Sí,Sí,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.35,20.35,0.68
1086-LXKFY,Sí,Masculino,Sí,No,17.0,No,Sí,No,No,Sí,Sí,Month-to-month,Sí,Mailed check,49.8,836.35,1.66
1087-GRUYI,No,Femenino,Sí,No,15.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,51.1,711.15,1.7
1087-UDSIH,Sí,Masculino,Sí,Sí,28.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,64.4,1802.15,2.15
1088-AUUZZ,No,Masculino,Sí,No,28.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,105.8,2998.0,3.53
1088-CNNKB,No,Masculino,Sí,Sí,40.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.6,808.95,0.65
1089-HDMKP,No,Femenino,No,No,63.0,Sí,Sí,Sí,No,Sí,Sí,Month-to-month,No,Credit card (automatic),108.25,6780.1,3.61
1089-XZWHH,No,Femenino,No,No,15.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,89.85,1424.95,2.99
1090-ESELR,No,Femenino,Sí,No,14.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,No,Mailed check,105.95,1348.9,3.53
1090-PYKCI,No,Masculino,No,Sí,54.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Credit card (automatic),55.0,3092.65,1.83
1091-SOZGA,No,Masculino,No,No,39.0,Sí,Sí,Sí,No,Sí,Sí,Two year,Sí,Electronic check,100.45,3801.7,3.35
1092-GANHU,Sí,Femenino,Sí,Sí,48.0,No,Sí,Sí,Sí,No,No,Two year,No,Mailed check,39.4,1978.65,1.31
1092-WPIVQ,No,Femenino,No,No,16.0,Sí,Sí,No,Sí,No,No,Month-to-month,Sí,Mailed check,53.9,834.15,1.8
1093-YSWCA,No,Femenino,No,Sí,44.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Mailed check,77.55,3471.1,2.58
1094-BKOSX,No,Masculino,Sí,Sí,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,70.65,70.65,2.36
1095-JUDTC,Sí,Masculino,Sí,No,69.0,Sí,Sí,Sí,No,No,No,One year,Sí,Credit card (automatic),53.65,3804.4,1.79
1095-WGNGG,No,Femenino,No,No,49.0,Sí,Sí,No,No,No,No,Month-to-month,No,Mailed check,43.8,2106.05,1.46
1096-ADRUX,No,Femenino,No,No,24.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),24.6,605.25,0.82
1097-FSPVW,No,Masculino,Sí,No,71.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,0.8
1098-KFQEC,No,Masculino,Sí,Sí,61.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),98.45,6145.2,3.28
1098-TDVUQ,No,Femenino,No,No,18.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,407.05,0.67
1099-BTKWT,No,Masculino,Sí,No,27.0,Sí,Sí,No,Sí,No,No,Month-to-month,Sí,Electronic check,53.8,1389.85,1.79
1099-GODLO,No,Femenino,Sí,Sí,64.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Electronic check,111.45,7266.95,3.72
1100-DDVRV,No,Femenino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,19.85,0.66
